700, 650, 1.464018908s
700, 651, 1.46539037s
700, 652, 1.597495214s
700, 653, 1.621646126s
700, 654, 3.073053946s
700, 655, 3.085324349s
700, 656, 3.13837661s
700, 657, 3.141586602s
700, 658, 3.142822584s
700, 659, 3.147666202s
700, 660, 3.155784161s
700, 661, 3.156403767s
700, 662, 3.170138323s
700, 663, 3.17279823s
700, 664, 3.171738848s
700, 665, 3.179150515s
700, 666, 3.18285133s
700, 667, 3.183755348s
700, 668, 3.182189937s
700, 669, 3.183738178s
700, 670, 3.203818964s
700, 671, 3.206159831s
700, 672, 3.206876133s
700, 673, 3.210040215s
700, 674, 3.227609403s
700, 675, 3.227931186s
700, 676, 3.227664454s
700, 677, 3.235043816s
700, 678, 3.235596304s
700, 679, 3.23872131s
700, 680, 3.255905745s
700, 681, 3.258732617s
700, 682, 3.290526285s
700, 683, 3.289346151s
700, 684, 3.289701423s
700, 685, 3.291073323s
700, 686, 3.291368399s
700, 687, 3.302196329s
700, 688, 3.309849735s
700, 689, 3.310162983s
700, 690, 3.311782864s
700, 691, 3.311777913s
700, 692, 3.313120853s
700, 693, 3.316851115s
700, 694, 3.327070802s
700, 695, 3.329873198s
700, 696, 3.330214251s
700, 697, 3.351242842s
700, 698, 3.372371152s
700, 699, 3.40544482s
700, 700, 3.4253705s
