mounted, id, time
100, 14, 213
100, 31, 219
100, 3, 226
100, 11, 223
100, 1, 234
100, 10, 249
100, 7, 258
100, 8, 257
100, 5, 260
100, 13, 278
100, 53, 284
100, 9, 299
100, 29, 290
100, 62, 283
100, 37, 307
100, 45, 304
100, 56, 250
100, 23, 338
100, 6, 336
100, 24, 336
100, 79, 279
100, 4, 350
100, 12, 357
100, 75, 294
100, 22, 353
100, 54, 358
100, 83, 305
100, 16, 361
100, 66, 336
100, 18, 370
100, 2, 382
100, 47, 357
100, 96, 337
100, 87, 244
100, 98, 321
100, 15, 389
100, 72, 292
100, 27, 382
100, 30, 402
100, 19, 407
100, 55, 409
100, 33, 399
100, 42, 342
100, 88, 293
100, 28, 405
100, 20, 427
100, 68, 371
100, 32, 433
100, 89, 340
100, 48, 397
100, 76, 360
100, 63, 390
100, 21, 428
100, 100, 348
100, 97, 373
100, 35, 446
100, 57, 431
100, 26, 452
100, 86, 390
100, 84, 418
100, 40, 398
100, 82, 427
100, 73, 424
100, 51, 444
100, 90, 287
100, 65, 481
100, 92, 456
100, 67, 463
100, 64, 447
100, 36, 466
100, 25, 497
100, 38, 441
100, 46, 487
100, 91, 413
100, 61, 484
100, 80, 487
100, 74, 453
100, 77, 455
100, 69, 457
100, 95, 484
100, 85, 456
100, 34, 511
100, 58, 493
100, 50, 501
100, 60, 500
100, 41, 459
100, 49, 507
100, 81, 508
100, 44, 518
100, 43, 507
100, 39, 510
100, 71, 468
100, 99, 461
100, 78, 491
100, 59, 508
100, 93, 504
100, 70, 510
100, 52, 516
100, 94, 475
100, 17, 614
